seed,forward_reverse_symmetric_feature_difference,forward_reverse_transition_difference,current_sign_reversal_error,symmetric_information_accuracy,symmetric_information_AUC,asymmetric_current_accuracy,asymmetric_current_AUC,entropy_production_AUC,entropy_production_forward,entropy_production_reverse,detailed_balance_residual_forward,detailed_balance_residual_reverse,reversible_negative_control_current_norm,probability_current_baseline_accuracy,input_A_has_asymmetric_information,input_B_has_explicit_current,timestamps_hidden,forward_reverse_metadata_stripped,stage
0,0.0,0.1490520768283682,0.0,0.5,0.5,1.0,1.0,0.5,0.0514624696640771,0.0514624696640771,0.037263019207092,0.037263019207092,4.9065389333867974e-18,1.0,False,True,True,True,development
1,0.0,0.1683045292350575,0.0,0.5,0.5,1.0,1.0,0.5,0.0680852722959908,0.0680852722959908,0.0420761323087643,0.0420761323087643,0.0,1.0,False,True,True,True,development
2,0.0,0.1498639607025996,0.0,0.5,0.5,1.0,1.0,0.5,0.0541189149244795,0.0541189149244795,0.0374659901756499,0.0374659901756499,0.0,1.0,False,True,True,True,development
3,0.0,0.1481193688401224,0.0,0.5,0.5,1.0,1.0,0.5,0.053745330274431,0.053745330274431,0.0370298422100306,0.0370298422100306,0.0,1.0,False,True,True,True,development
4,0.0,0.1558838834374118,0.0,0.5,0.5,1.0,1.0,0.5,0.0550222009090714,0.0550222009090714,0.0389709708593529,0.0389709708593529,4.9065389333867974e-18,1.0,False,True,True,True,development
5,0.0,0.164273372686105,0.0,0.5,0.5,1.0,1.0,0.5,0.0625726844104682,0.0625726844104682,0.0410683431715262,0.0410683431715262,4.2491873609703695e-18,1.0,False,True,True,True,development
6,0.0,0.1511305226304621,0.0,0.5,0.5,1.0,1.0,0.5,0.0535657128527727,0.0535657128527727,0.0377826306576155,0.0377826306576155,0.0,1.0,False,True,True,True,development
7,0.0,0.1667983947508993,0.0,0.5,0.5,1.0,1.0,0.5,0.0659384644128412,0.0659384644128412,0.0416995986877248,0.0416995986877248,0.0,1.0,False,True,True,True,development
8,0.0,0.1693457622706173,0.0,0.5,0.5,1.0,1.0,0.5,0.0704320014022573,0.0704320014022573,0.0423364405676543,0.0423364405676543,4.9065389333867974e-18,1.0,False,True,True,True,development
9,0.0,0.1495337719775819,0.0,0.5,0.5,1.0,1.0,0.5,0.0506399866927555,0.0506399866927555,0.0373834429943954,0.0373834429943954,0.0,1.0,False,True,True,True,development
10,0.0,0.1472954848867519,0.0,0.5,0.5,1.0,1.0,0.5,0.0486138220901899,0.0486138220901899,0.0368238712216879,0.0368238712216879,0.0,1.0,False,True,True,True,development
11,0.0,0.1555430667264187,0.0,0.5,0.5,1.0,1.0,0.5,0.0595624114967193,0.0595624114967193,0.0388857666816046,0.0388857666816046,0.0,1.0,False,True,True,True,development
12,0.0,0.1681995732774783,0.0,0.5,0.5,1.0,1.0,0.5,0.0699512855175104,0.0699512855175104,0.0420498933193695,0.0420498933193695,0.0,1.0,False,True,True,True,development
13,0.0,0.1656129645682842,0.0,0.5,0.5,1.0,1.0,0.5,0.0633168327513664,0.0633168327513664,0.041403241142071,0.041403241142071,0.0,1.0,False,True,True,True,development
14,0.0,0.1516304696679169,0.0,0.5,0.5,1.0,1.0,0.5,0.0523902969796513,0.0523902969796513,0.0379076174169792,0.0379076174169792,0.0,1.0,False,True,True,True,development
15,0.0,0.1644961487026593,0.0,0.5,0.5,1.0,1.0,0.5,0.0634887194581158,0.0634887194581158,0.0411240371756648,0.0411240371756648,0.0,1.0,False,True,True,True,development
16,0.0,0.1536046404866101,0.0,0.5,0.5,1.0,1.0,0.5,0.0553324692936574,0.0553324692936574,0.0384011601216525,0.0384011601216525,4.9065389333867974e-18,1.0,False,True,True,True,development
17,0.0,0.1459743628114789,0.0,0.5,0.5,1.0,1.0,0.5,0.0481950872456809,0.0481950872456809,0.0364935907028697,0.0364935907028697,0.0,1.0,False,True,True,True,development
18,0.0,0.1617129076232083,0.0,0.5,0.5,1.0,1.0,0.5,0.0630500295732617,0.0630500295732617,0.040428226905802,0.040428226905802,0.0,1.0,False,True,True,True,development
19,0.0,0.1676088959258149,0.0,0.5,0.5,1.0,1.0,0.5,0.0681253895600727,0.0681253895600727,0.0419022239814537,0.0419022239814537,0.0,1.0,False,True,True,True,development
20,0.0,0.1544645548622505,0.0,0.5,0.5,1.0,1.0,0.5,0.057711095667254,0.057711095667254,0.0386161387155626,0.0386161387155626,0.0,1.0,False,True,True,True,development
21,0.0,0.1585572979561638,0.0,0.5,0.5,1.0,1.0,0.5,0.0580299384347986,0.0580299384347986,0.0396393244890409,0.0396393244890409,0.0,1.0,False,True,True,True,development
22,0.0,0.1470582808059201,0.0,0.5,0.5,1.0,1.0,0.5,0.051374755310936,0.051374755310936,0.03676457020148,0.03676457020148,0.0,1.0,False,True,True,True,development
23,0.0,0.1595645345505437,0.0,0.5,0.5,1.0,1.0,0.5,0.0593640999247213,0.0593640999247213,0.0398911336376359,0.0398911336376359,4.9065389333867974e-18,1.0,False,True,True,True,development
24,0.0,0.1528815013361655,0.0,0.5,0.5,1.0,1.0,0.5,0.0561237322447805,0.0561237322447805,0.0382203753340413,0.0382203753340413,0.0,1.0,False,True,True,True,development
25,0.0,0.1414301819247249,0.0,0.5,0.5,1.0,1.0,0.5,0.0482259988202206,0.0482259988202206,0.0353575454811812,0.0353575454811812,0.0,1.0,False,True,True,True,development
26,0.0,0.1480511759529283,0.0,0.5,0.5,1.0,1.0,0.5,0.0514662700840741,0.0514662700840741,0.037012793988232,0.037012793988232,4.9065389333867974e-18,1.0,False,True,True,True,development
27,0.0,0.1502973642341736,0.0,0.5,0.5,1.0,1.0,0.5,0.0520812208420348,0.0520812208420348,0.0375743410585434,0.0375743410585434,0.0,1.0,False,True,True,True,development
28,0.0,0.1664499085753873,0.0,0.5,0.5,1.0,1.0,0.5,0.0641102037787493,0.0641102037787493,0.0416124771438468,0.0416124771438468,4.9065389333867974e-18,1.0,False,True,True,True,development
29,0.0,0.1557423134687428,0.0,0.5,0.5,1.0,1.0,0.5,0.0602449079170131,0.0602449079170131,0.0389355783671857,0.0389355783671857,0.0,1.0,False,True,True,True,development
1000,0.0,0.15850058282860494,0.0,0.5,0.5,1.0,1.0,0.5,0.0595481715381411,0.0595481715381411,0.039625145707151234,0.039625145707151234,4.9065389333867974e-18,1.0,False,True,True,True,validation
1001,0.0,0.14186543252785183,0.0,0.5,0.5,1.0,1.0,0.5,0.0463704910994181,0.0463704910994181,0.03546635813196296,0.03546635813196296,4.9065389333867974e-18,1.0,False,True,True,True,validation
1002,0.0,0.1515241963506958,0.0,0.5,0.5,1.0,1.0,0.5,0.05475003792092857,0.05475003792092857,0.03788104908767395,0.03788104908767395,0.0,1.0,False,True,True,True,validation
1003,0.0,0.14868209300433818,0.0,0.5,0.5,1.0,1.0,0.5,0.0536072187694553,0.0536072187694553,0.037170523251084546,0.037170523251084546,4.9065389333867974e-18,1.0,False,True,True,True,validation
1004,0.0,0.14510259125274053,0.0,0.5,0.5,1.0,1.0,0.5,0.05185382597050011,0.05185382597050011,0.03627564781318513,0.03627564781318513,0.0,1.0,False,True,True,True,validation
1005,0.0,0.16774162545682092,0.0,0.5,0.5,1.0,1.0,0.5,0.07084924961059583,0.07084924961059583,0.04193540636420523,0.04193540636420523,4.2491873609703695e-18,1.0,False,True,True,True,validation
1006,0.0,0.15841615701665995,0.0,0.5,0.5,1.0,1.0,0.5,0.0606445772771975,0.0606445772771975,0.03960403925416499,0.03960403925416499,0.0,1.0,False,True,True,True,validation
1007,0.0,0.16450076565292002,0.0,0.5,0.5,1.0,1.0,0.5,0.06789166611346038,0.06789166611346038,0.041125191413230004,0.041125191413230004,0.0,1.0,False,True,True,True,validation
1008,0.0,0.16441790412402202,0.0,0.5,0.5,1.0,1.0,0.5,0.06709262622777791,0.06709262622777791,0.041104476031005505,0.041104476031005505,4.9065389333867974e-18,1.0,False,True,True,True,validation
1009,0.0,0.15066792539407214,0.0,0.5,0.5,1.0,1.0,0.5,0.055965988201729065,0.055965988201729065,0.037666981348518036,0.037666981348518036,0.0,1.0,False,True,True,True,validation
1010,0.0,0.15657623087555705,0.0,0.5,0.5,1.0,1.0,0.5,0.060661607459595625,0.060661607459595625,0.039144057718889264,0.039144057718889264,0.0,1.0,False,True,True,True,validation
1011,0.0,0.15735455191573647,0.0,0.5,0.5,1.0,1.0,0.5,0.0600889195221091,0.0600889195221091,0.03933863797893412,0.03933863797893412,4.2491873609703695e-18,1.0,False,True,True,True,validation
1012,0.0,0.1635013788066884,0.0,0.5,0.5,1.0,1.0,0.5,0.06525834614397964,0.06525834614397964,0.0408753447016721,0.0408753447016721,0.0,1.0,False,True,True,True,validation
1013,0.0,0.143655233034297,0.0,0.5,0.5,1.0,1.0,0.5,0.04679377648627964,0.04679377648627964,0.03591380825857425,0.03591380825857425,0.0,1.0,False,True,True,True,validation
1014,0.0,0.15798751911069017,0.0,0.5,0.5,1.0,1.0,0.5,0.05965809291135375,0.05965809291135375,0.03949687977767254,0.03949687977767254,0.0,1.0,False,True,True,True,validation
1015,0.0,0.15859182736724797,0.0,0.5,0.5,1.0,1.0,0.5,0.06064468662811916,0.06064468662811916,0.03964795684181199,0.03964795684181199,0.0,1.0,False,True,True,True,validation
1016,0.0,0.1539426331610425,0.0,0.5,0.5,1.0,1.0,0.5,0.05760177321909166,0.05760177321909166,0.03848565829026063,0.03848565829026063,0.0,1.0,False,True,True,True,validation
1017,0.0,0.16465212973535445,0.0,0.5,0.5,1.0,1.0,0.5,0.06217205931547633,0.06217205931547633,0.04116303243383861,0.04116303243383861,0.0,1.0,False,True,True,True,validation
1018,0.0,0.15428954214076454,0.0,0.5,0.5,1.0,1.0,0.5,0.055718216513145215,0.055718216513145215,0.038572385535191135,0.038572385535191135,0.0,1.0,False,True,True,True,validation
1019,0.0,0.15262178758458725,0.0,0.5,0.5,1.0,1.0,0.5,0.05658890445399388,0.05658890445399388,0.03815544689614681,0.03815544689614681,0.0,1.0,False,True,True,True,validation
1020,0.0,0.14944490483946504,0.0,0.5,0.5,1.0,1.0,0.5,0.05206138439667226,0.05206138439667226,0.03736122620986626,0.03736122620986626,4.9065389333867974e-18,1.0,False,True,True,True,validation
1021,0.0,0.14370817952548873,0.0,0.5,0.5,1.0,1.0,0.5,0.04883311718461562,0.04883311718461562,0.03592704488137218,0.03592704488137218,9.813077866773595e-18,1.0,False,True,True,True,validation
